reference_index,celltype,tech
240,acinar,celseq
241,acinar,celseq
242,acinar,celseq
243,acinar,celseq
244,acinar,celseq
245,acinar,celseq
246,acinar,celseq
247,acinar,celseq
248,acinar,celseq
249,acinar,celseq
250,acinar,celseq
251,acinar,celseq
252,acinar,celseq
253,acinar,celseq
254,acinar,celseq
255,acinar,celseq
256,acinar,celseq
257,acinar,celseq
258,acinar,celseq
259,acinar,celseq
260,acinar,celseq
261,acinar,celseq
262,acinar,celseq
263,acinar,celseq
264,acinar,fluidigmc1
265,acinar,fluidigmc1
266,acinar,fluidigmc1
267,acinar,fluidigmc1
268,acinar,fluidigmc1
269,acinar,fluidigmc1
270,acinar,fluidigmc1
271,acinar,fluidigmc1
272,acinar,fluidigmc1
273,acinar,fluidigmc1
274,acinar,fluidigmc1
275,acinar,fluidigmc1
276,acinar,fluidigmc1
277,acinar,fluidigmc1
278,acinar,fluidigmc1
279,acinar,fluidigmc1
280,acinar,fluidigmc1
281,acinar,fluidigmc1
282,acinar,fluidigmc1
283,acinar,fluidigmc1
284,acinar,fluidigmc1
285,alpha,celseq
286,alpha,celseq
287,alpha,celseq
288,alpha,celseq
289,alpha,celseq
290,alpha,celseq
291,alpha,celseq
292,alpha,celseq
293,alpha,celseq
294,alpha,celseq
295,alpha,celseq
296,alpha,celseq
297,alpha,celseq
298,alpha,celseq
299,alpha,celseq
300,alpha,celseq
301,alpha,celseq
302,alpha,celseq
303,alpha,celseq
304,alpha,celseq
305,alpha,celseq
306,alpha,celseq
307,alpha,celseq
308,alpha,celseq
309,alpha,celseq
310,alpha,celseq
311,alpha,celseq
312,alpha,celseq
313,alpha,celseq
314,alpha,celseq
315,alpha,celseq
316,alpha,celseq
317,alpha,celseq
318,alpha,celseq
319,alpha,celseq
320,alpha,celseq
321,alpha,celseq
322,alpha,celseq
323,alpha,celseq
324,alpha,celseq
325,alpha,celseq
326,alpha,celseq
327,alpha,celseq
328,alpha,celseq
329,alpha,celseq
330,alpha,celseq
331,alpha,celseq
332,alpha,celseq
333,alpha,celseq
334,alpha,celseq
335,alpha,celseq
336,alpha,celseq
337,alpha,celseq
338,alpha,celseq
339,alpha,celseq
340,alpha,celseq
341,alpha,celseq
342,alpha,celseq
343,alpha,celseq
344,alpha,celseq
345,alpha,celseq
346,alpha,celseq
347,alpha,celseq
348,alpha,celseq
349,alpha,celseq
350,alpha,celseq
351,alpha,celseq
352,alpha,celseq
353,alpha,celseq
354,alpha,celseq
355,alpha,celseq
356,alpha,celseq
357,alpha,celseq
358,alpha,celseq
359,alpha,celseq
360,alpha,celseq
361,alpha,celseq
362,alpha,celseq
363,alpha,celseq
364,alpha,celseq
365,alpha,celseq
366,alpha,celseq
367,alpha,celseq
368,alpha,celseq
369,alpha,celseq
370,alpha,celseq
371,alpha,celseq
372,alpha,celseq
373,alpha,celseq
374,alpha,celseq
375,alpha,celseq
376,alpha,celseq
377,alpha,celseq
378,alpha,celseq
379,alpha,celseq
380,alpha,celseq
381,alpha,celseq
382,alpha,celseq
383,alpha,celseq
384,alpha,celseq
385,alpha,celseq
386,alpha,celseq
387,alpha,celseq
388,alpha,celseq
389,alpha,celseq
390,alpha,celseq
391,alpha,celseq
392,alpha,celseq
393,alpha,celseq
394,alpha,celseq
395,alpha,celseq
396,alpha,celseq
397,alpha,celseq
398,alpha,celseq
399,alpha,celseq
400,alpha,celseq
401,alpha,celseq
402,alpha,celseq
403,alpha,celseq
404,alpha,celseq
405,alpha,celseq
406,alpha,celseq
407,alpha,celseq
408,alpha,celseq
409,alpha,celseq
410,alpha,celseq
411,alpha,celseq
412,alpha,celseq
413,alpha,celseq
414,alpha,celseq
415,alpha,celseq
416,alpha,celseq
417,alpha,celseq
418,alpha,celseq
419,alpha,celseq
420,alpha,celseq
421,alpha,celseq
422,alpha,celseq
423,alpha,celseq
424,alpha,celseq
425,alpha,celseq
426,alpha,celseq
427,alpha,celseq
428,alpha,celseq
429,alpha,celseq
430,alpha,celseq
431,alpha,celseq
432,alpha,celseq
433,alpha,celseq
434,alpha,celseq
435,alpha,celseq
436,alpha,celseq
437,alpha,celseq
438,alpha,celseq
439,alpha,celseq
440,alpha,celseq
441,alpha,celseq
442,alpha,celseq
443,alpha,celseq
444,alpha,celseq
445,alpha,celseq
446,alpha,celseq
447,alpha,celseq
448,alpha,celseq
449,alpha,celseq
450,alpha,celseq
451,alpha,celseq
452,alpha,celseq
453,alpha,celseq
454,alpha,celseq
455,alpha,celseq
456,alpha,celseq
457,alpha,celseq
458,alpha,celseq
459,alpha,celseq
460,alpha,celseq
461,alpha,celseq
462,alpha,celseq
463,alpha,celseq
464,alpha,celseq
465,alpha,celseq
466,alpha,celseq
467,alpha,celseq
468,alpha,celseq
469,alpha,celseq
470,alpha,celseq
471,alpha,celseq
472,alpha,celseq
473,alpha,celseq
474,alpha,celseq
475,alpha,celseq
476,alpha,fluidigmc1
477,alpha,fluidigmc1
478,alpha,fluidigmc1
479,alpha,fluidigmc1
480,alpha,fluidigmc1
481,alpha,fluidigmc1
482,alpha,fluidigmc1
483,alpha,fluidigmc1
484,alpha,fluidigmc1
485,alpha,fluidigmc1
486,alpha,fluidigmc1
487,alpha,fluidigmc1
488,alpha,fluidigmc1
489,alpha,fluidigmc1
490,alpha,fluidigmc1
491,alpha,fluidigmc1
492,alpha,fluidigmc1
493,alpha,fluidigmc1
494,alpha,fluidigmc1
495,alpha,fluidigmc1
496,alpha,fluidigmc1
497,alpha,fluidigmc1
498,alpha,fluidigmc1
499,alpha,fluidigmc1
500,alpha,fluidigmc1
501,alpha,fluidigmc1
502,alpha,fluidigmc1
503,alpha,fluidigmc1
504,alpha,fluidigmc1
505,alpha,fluidigmc1
506,alpha,fluidigmc1
507,alpha,fluidigmc1
508,alpha,fluidigmc1
509,alpha,fluidigmc1
510,alpha,fluidigmc1
511,alpha,fluidigmc1
512,alpha,fluidigmc1
513,alpha,fluidigmc1
514,alpha,fluidigmc1
515,alpha,fluidigmc1
516,alpha,fluidigmc1
517,alpha,fluidigmc1
518,alpha,fluidigmc1
519,alpha,fluidigmc1
520,alpha,fluidigmc1
521,alpha,fluidigmc1
522,alpha,fluidigmc1
523,alpha,fluidigmc1
524,alpha,fluidigmc1
525,alpha,fluidigmc1
526,alpha,fluidigmc1
527,alpha,fluidigmc1
528,alpha,fluidigmc1
529,alpha,fluidigmc1
530,alpha,fluidigmc1
531,alpha,fluidigmc1
532,alpha,fluidigmc1
533,alpha,fluidigmc1
534,alpha,fluidigmc1
535,alpha,fluidigmc1
536,alpha,fluidigmc1
537,alpha,fluidigmc1
538,alpha,fluidigmc1
539,alpha,fluidigmc1
540,alpha,fluidigmc1
541,alpha,fluidigmc1
542,alpha,fluidigmc1
543,alpha,fluidigmc1
544,alpha,fluidigmc1
545,alpha,fluidigmc1
546,alpha,fluidigmc1
547,alpha,fluidigmc1
548,alpha,fluidigmc1
549,alpha,fluidigmc1
550,alpha,fluidigmc1
551,alpha,fluidigmc1
552,alpha,fluidigmc1
553,alpha,fluidigmc1
554,alpha,fluidigmc1
555,alpha,fluidigmc1
556,alpha,fluidigmc1
557,alpha,fluidigmc1
558,alpha,fluidigmc1
559,alpha,fluidigmc1
560,alpha,fluidigmc1
561,alpha,fluidigmc1
562,alpha,fluidigmc1
563,alpha,fluidigmc1
564,alpha,fluidigmc1
565,alpha,fluidigmc1
566,alpha,fluidigmc1
567,alpha,fluidigmc1
568,alpha,fluidigmc1
569,alpha,fluidigmc1
570,alpha,fluidigmc1
571,alpha,fluidigmc1
572,alpha,fluidigmc1
573,alpha,fluidigmc1
574,alpha,fluidigmc1
575,alpha,fluidigmc1
576,alpha,fluidigmc1
577,alpha,fluidigmc1
578,alpha,fluidigmc1
579,alpha,fluidigmc1
580,alpha,fluidigmc1
581,alpha,fluidigmc1
582,alpha,fluidigmc1
583,alpha,fluidigmc1
584,alpha,fluidigmc1
585,alpha,fluidigmc1
586,alpha,fluidigmc1
587,alpha,fluidigmc1
588,alpha,fluidigmc1
589,alpha,fluidigmc1
590,alpha,fluidigmc1
591,alpha,fluidigmc1
592,alpha,fluidigmc1
593,alpha,fluidigmc1
594,alpha,fluidigmc1
595,alpha,fluidigmc1
596,alpha,fluidigmc1
597,alpha,fluidigmc1
598,alpha,fluidigmc1
599,alpha,fluidigmc1
600,alpha,fluidigmc1
601,alpha,fluidigmc1
602,alpha,fluidigmc1
603,alpha,fluidigmc1
604,alpha,fluidigmc1
605,alpha,fluidigmc1
606,alpha,fluidigmc1
607,alpha,fluidigmc1
608,alpha,fluidigmc1
609,alpha,fluidigmc1
610,alpha,fluidigmc1
611,alpha,fluidigmc1
612,alpha,fluidigmc1
613,alpha,fluidigmc1
614,alpha,fluidigmc1
615,alpha,fluidigmc1
616,alpha,fluidigmc1
617,alpha,fluidigmc1
618,alpha,fluidigmc1
619,alpha,fluidigmc1
620,alpha,fluidigmc1
621,alpha,fluidigmc1
622,alpha,fluidigmc1
623,alpha,fluidigmc1
624,alpha,fluidigmc1
625,alpha,fluidigmc1
626,alpha,fluidigmc1
627,alpha,fluidigmc1
628,alpha,fluidigmc1
629,alpha,fluidigmc1
630,alpha,fluidigmc1
631,alpha,fluidigmc1
632,alpha,fluidigmc1
633,alpha,fluidigmc1
634,alpha,fluidigmc1
635,alpha,fluidigmc1
636,alpha,fluidigmc1
637,alpha,fluidigmc1
638,alpha,fluidigmc1
639,alpha,fluidigmc1
640,alpha,fluidigmc1
641,alpha,fluidigmc1
642,alpha,fluidigmc1
643,alpha,fluidigmc1
644,alpha,fluidigmc1
645,alpha,fluidigmc1
646,alpha,fluidigmc1
647,alpha,fluidigmc1
648,alpha,fluidigmc1
649,alpha,fluidigmc1
650,alpha,fluidigmc1
651,alpha,fluidigmc1
652,alpha,fluidigmc1
653,alpha,fluidigmc1
654,alpha,fluidigmc1
655,alpha,fluidigmc1
656,alpha,fluidigmc1
657,alpha,fluidigmc1
658,alpha,fluidigmc1
659,alpha,fluidigmc1
660,alpha,fluidigmc1
661,alpha,fluidigmc1
662,alpha,fluidigmc1
663,alpha,fluidigmc1
664,alpha,fluidigmc1
665,alpha,fluidigmc1
666,alpha,fluidigmc1
667,alpha,fluidigmc1
668,alpha,fluidigmc1
669,alpha,fluidigmc1
670,alpha,fluidigmc1
671,alpha,fluidigmc1
672,alpha,fluidigmc1
673,alpha,fluidigmc1
674,alpha,fluidigmc1
675,alpha,fluidigmc1
676,alpha,fluidigmc1
677,alpha,fluidigmc1
678,alpha,fluidigmc1
679,alpha,fluidigmc1
680,alpha,fluidigmc1
681,alpha,fluidigmc1
682,alpha,fluidigmc1
683,alpha,fluidigmc1
684,alpha,fluidigmc1
685,alpha,fluidigmc1
686,alpha,fluidigmc1
687,alpha,fluidigmc1
688,alpha,fluidigmc1
689,alpha,fluidigmc1
690,alpha,fluidigmc1
691,alpha,fluidigmc1
692,alpha,fluidigmc1
693,alpha,fluidigmc1
694,alpha,fluidigmc1
695,alpha,fluidigmc1
696,alpha,fluidigmc1
697,alpha,fluidigmc1
698,alpha,fluidigmc1
699,alpha,fluidigmc1
700,alpha,fluidigmc1
701,alpha,fluidigmc1
702,alpha,fluidigmc1
703,alpha,fluidigmc1
704,alpha,fluidigmc1
705,alpha,fluidigmc1
706,alpha,fluidigmc1
707,alpha,fluidigmc1
708,alpha,fluidigmc1
709,alpha,fluidigmc1
710,alpha,fluidigmc1
711,alpha,fluidigmc1
712,alpha,fluidigmc1
713,alpha,fluidigmc1
714,alpha,fluidigmc1
715,delta,celseq
716,delta,celseq
717,delta,celseq
718,delta,celseq
719,delta,celseq
720,delta,celseq
721,delta,celseq
722,delta,celseq
723,delta,celseq
724,delta,celseq
725,delta,celseq
726,delta,celseq
727,delta,celseq
728,delta,celseq
729,delta,celseq
730,delta,celseq
731,delta,celseq
732,delta,celseq
733,delta,celseq
734,delta,celseq
735,delta,celseq
736,delta,celseq
737,delta,celseq
738,delta,celseq
739,delta,celseq
740,delta,celseq
741,delta,celseq
742,delta,celseq
743,delta,celseq
744,delta,celseq
745,delta,celseq
746,delta,celseq
747,delta,celseq
748,delta,celseq
749,delta,celseq
750,delta,celseq
751,delta,celseq
752,delta,celseq
753,delta,celseq
754,delta,celseq
755,delta,celseq
756,delta,celseq
757,delta,celseq
758,delta,celseq
759,delta,celseq
760,delta,celseq
761,delta,celseq
762,delta,celseq
763,delta,celseq
764,delta,celseq
765,delta,fluidigmc1
766,delta,fluidigmc1
767,delta,fluidigmc1
768,delta,fluidigmc1
769,delta,fluidigmc1
770,delta,fluidigmc1
771,delta,fluidigmc1
772,delta,fluidigmc1
773,delta,fluidigmc1
774,delta,fluidigmc1
775,delta,fluidigmc1
776,delta,fluidigmc1
777,delta,fluidigmc1
778,delta,fluidigmc1
779,delta,fluidigmc1
780,delta,fluidigmc1
781,delta,fluidigmc1
782,delta,fluidigmc1
783,delta,fluidigmc1
784,delta,fluidigmc1
785,delta,fluidigmc1
786,delta,fluidigmc1
787,delta,fluidigmc1
788,delta,fluidigmc1
789,delta,fluidigmc1
790,beta,celseq
791,beta,celseq
792,beta,celseq
793,beta,celseq
794,beta,celseq
795,beta,celseq
796,beta,celseq
797,beta,celseq
798,beta,celseq
799,beta,celseq
800,beta,celseq
801,beta,celseq
802,beta,celseq
803,beta,celseq
804,beta,celseq
805,beta,celseq
806,beta,celseq
807,beta,celseq
808,beta,celseq
809,beta,celseq
810,beta,celseq
811,beta,celseq
812,beta,celseq
813,beta,celseq
814,beta,celseq
815,beta,celseq
816,beta,celseq
817,beta,celseq
818,beta,celseq
819,beta,celseq
820,beta,celseq
821,beta,celseq
822,beta,celseq
823,beta,celseq
824,beta,celseq
825,beta,celseq
826,beta,celseq
827,beta,celseq
828,beta,celseq
829,beta,celseq
830,beta,celseq
831,beta,celseq
832,beta,celseq
833,beta,celseq
834,beta,celseq
835,beta,celseq
836,beta,celseq
837,beta,celseq
838,beta,celseq
839,beta,celseq
840,beta,celseq
841,beta,celseq
842,beta,celseq
843,beta,celseq
844,beta,celseq
845,beta,celseq
846,beta,celseq
847,beta,celseq
848,beta,celseq
849,beta,celseq
850,beta,celseq
851,beta,celseq
852,beta,celseq
853,beta,celseq
854,beta,celseq
855,beta,celseq
856,beta,celseq
857,beta,celseq
858,beta,celseq
859,beta,celseq
860,beta,celseq
861,beta,celseq
862,beta,celseq
863,beta,celseq
864,beta,celseq
865,beta,celseq
866,beta,celseq
867,beta,celseq
868,beta,celseq
869,beta,celseq
870,beta,celseq
871,beta,celseq
872,beta,celseq
873,beta,celseq
874,beta,celseq
875,beta,celseq
876,beta,celseq
877,beta,celseq
878,beta,celseq
879,beta,celseq
880,beta,celseq
881,beta,celseq
882,beta,celseq
883,beta,celseq
884,beta,celseq
885,beta,celseq
886,beta,celseq
887,beta,celseq
888,beta,celseq
889,beta,celseq
890,beta,celseq
891,beta,celseq
892,beta,celseq
893,beta,celseq
894,beta,celseq
895,beta,celseq
896,beta,celseq
897,beta,celseq
898,beta,celseq
899,beta,celseq
900,beta,celseq
901,beta,celseq
902,beta,celseq
903,beta,celseq
904,beta,celseq
905,beta,celseq
906,beta,celseq
907,beta,celseq
908,beta,celseq
909,beta,celseq
910,beta,celseq
911,beta,celseq
912,beta,celseq
913,beta,celseq
914,beta,celseq
915,beta,celseq
916,beta,celseq
917,beta,celseq
918,beta,celseq
919,beta,celseq
920,beta,celseq
921,beta,celseq
922,beta,celseq
923,beta,celseq
924,beta,celseq
925,beta,celseq
926,beta,celseq
927,beta,celseq
928,beta,celseq
929,beta,celseq
930,beta,celseq
931,beta,celseq
932,beta,celseq
933,beta,celseq
934,beta,celseq
935,beta,celseq
936,beta,celseq
937,beta,celseq
938,beta,celseq
939,beta,celseq
940,beta,celseq
941,beta,celseq
942,beta,celseq
943,beta,celseq
944,beta,celseq
945,beta,celseq
946,beta,celseq
947,beta,celseq
948,beta,celseq
949,beta,celseq
950,beta,celseq
951,beta,fluidigmc1
952,beta,fluidigmc1
953,beta,fluidigmc1
954,beta,fluidigmc1
955,beta,fluidigmc1
956,beta,fluidigmc1
957,beta,fluidigmc1
958,beta,fluidigmc1
959,beta,fluidigmc1
960,beta,fluidigmc1
961,beta,fluidigmc1
962,beta,fluidigmc1
963,beta,fluidigmc1
964,beta,fluidigmc1
965,beta,fluidigmc1
966,beta,fluidigmc1
967,beta,fluidigmc1
968,beta,fluidigmc1
969,beta,fluidigmc1
970,beta,fluidigmc1
971,beta,fluidigmc1
972,beta,fluidigmc1
973,beta,fluidigmc1
974,beta,fluidigmc1
975,beta,fluidigmc1
976,beta,fluidigmc1
977,beta,fluidigmc1
978,beta,fluidigmc1
979,beta,fluidigmc1
980,beta,fluidigmc1
981,beta,fluidigmc1
982,beta,fluidigmc1
983,beta,fluidigmc1
984,beta,fluidigmc1
985,beta,fluidigmc1
986,beta,fluidigmc1
987,beta,fluidigmc1
988,beta,fluidigmc1
989,beta,fluidigmc1
990,beta,fluidigmc1
991,beta,fluidigmc1
992,beta,fluidigmc1
993,beta,fluidigmc1
994,beta,fluidigmc1
995,beta,fluidigmc1
996,beta,fluidigmc1
997,beta,fluidigmc1
998,beta,fluidigmc1
999,beta,fluidigmc1
1000,beta,fluidigmc1
1001,beta,fluidigmc1
1002,beta,fluidigmc1
1003,beta,fluidigmc1
1004,beta,fluidigmc1
1005,beta,fluidigmc1
1006,beta,fluidigmc1
1007,beta,fluidigmc1
1008,beta,fluidigmc1
1009,beta,fluidigmc1
1010,beta,fluidigmc1
1011,beta,fluidigmc1
1012,beta,fluidigmc1
1013,beta,fluidigmc1
1014,beta,fluidigmc1
1015,beta,fluidigmc1
1016,beta,fluidigmc1
1017,beta,fluidigmc1
1018,beta,fluidigmc1
1019,beta,fluidigmc1
1020,beta,fluidigmc1
1021,beta,fluidigmc1
1022,beta,fluidigmc1
1023,beta,fluidigmc1
1024,beta,fluidigmc1
1025,beta,fluidigmc1
1026,beta,fluidigmc1
1027,beta,fluidigmc1
1028,beta,fluidigmc1
1029,beta,fluidigmc1
1030,beta,fluidigmc1
1031,beta,fluidigmc1
1032,beta,fluidigmc1
1033,beta,fluidigmc1
1034,beta,fluidigmc1
1035,beta,fluidigmc1
1036,beta,fluidigmc1
1037,beta,fluidigmc1
1038,beta,fluidigmc1
1039,beta,fluidigmc1
1040,beta,fluidigmc1
1041,beta,fluidigmc1
1042,beta,fluidigmc1
1043,beta,fluidigmc1
1044,beta,fluidigmc1
1045,beta,fluidigmc1
1046,beta,fluidigmc1
1047,beta,fluidigmc1
1048,beta,fluidigmc1
1049,beta,fluidigmc1
1050,beta,fluidigmc1
1051,beta,fluidigmc1
1052,beta,fluidigmc1
1053,beta,fluidigmc1
1054,beta,fluidigmc1
1055,beta,fluidigmc1
1056,beta,fluidigmc1
1057,beta,fluidigmc1
1058,beta,fluidigmc1
1059,beta,fluidigmc1
1060,beta,fluidigmc1
1061,beta,fluidigmc1
1062,beta,fluidigmc1
1063,beta,fluidigmc1
1064,beta,fluidigmc1
1065,beta,fluidigmc1
1066,beta,fluidigmc1
1067,beta,fluidigmc1
1068,beta,fluidigmc1
1069,beta,fluidigmc1
1070,beta,fluidigmc1
1071,beta,fluidigmc1
1072,beta,fluidigmc1
1073,beta,fluidigmc1
1074,beta,fluidigmc1
1075,beta,fluidigmc1
1076,beta,fluidigmc1
1077,beta,fluidigmc1
1078,beta,fluidigmc1
1079,beta,fluidigmc1
1080,beta,fluidigmc1
1081,beta,fluidigmc1
1082,beta,fluidigmc1
1083,beta,fluidigmc1
1084,beta,fluidigmc1
1085,beta,fluidigmc1
1086,beta,fluidigmc1
1087,beta,fluidigmc1
1088,beta,fluidigmc1
1089,beta,fluidigmc1
1090,beta,fluidigmc1
1091,beta,fluidigmc1
1092,beta,fluidigmc1
1093,beta,fluidigmc1
1094,beta,fluidigmc1
1095,beta,fluidigmc1
1096,beta,fluidigmc1
1097,beta,fluidigmc1
1098,beta,fluidigmc1
1099,beta,fluidigmc1
1100,beta,fluidigmc1
1101,beta,fluidigmc1
1102,beta,fluidigmc1
1103,beta,fluidigmc1
1104,beta,fluidigmc1
1105,beta,fluidigmc1
1106,beta,fluidigmc1
1107,beta,fluidigmc1
1108,beta,fluidigmc1
1109,beta,fluidigmc1
1110,beta,fluidigmc1
1111,beta,fluidigmc1
1112,beta,fluidigmc1
1113,beta,fluidigmc1
1114,beta,fluidigmc1
1115,beta,fluidigmc1
1116,beta,fluidigmc1
1117,beta,fluidigmc1
1118,beta,fluidigmc1
1119,beta,fluidigmc1
1120,beta,fluidigmc1
1121,beta,fluidigmc1
1122,beta,fluidigmc1
1123,beta,fluidigmc1
1124,beta,fluidigmc1
1125,beta,fluidigmc1
1126,beta,fluidigmc1
1127,beta,fluidigmc1
1128,beta,fluidigmc1
1129,beta,fluidigmc1
1130,beta,fluidigmc1
1131,beta,fluidigmc1
1132,beta,fluidigmc1
1133,beta,fluidigmc1
1134,beta,fluidigmc1
1135,beta,fluidigmc1
1136,beta,fluidigmc1
1137,beta,fluidigmc1
1138,beta,fluidigmc1
1139,beta,fluidigmc1
1140,beta,fluidigmc1
1141,beta,fluidigmc1
1142,beta,fluidigmc1
1143,beta,fluidigmc1
1144,beta,fluidigmc1
1145,beta,fluidigmc1
1146,beta,fluidigmc1
1147,beta,fluidigmc1
1148,beta,fluidigmc1
1149,beta,fluidigmc1
1150,beta,fluidigmc1
1151,beta,fluidigmc1
1152,beta,fluidigmc1
1153,beta,fluidigmc1
1154,beta,fluidigmc1
1155,beta,fluidigmc1
1156,beta,fluidigmc1
1157,beta,fluidigmc1
1158,beta,fluidigmc1
1159,beta,fluidigmc1
1160,beta,fluidigmc1
1161,beta,fluidigmc1
1162,beta,fluidigmc1
1163,beta,fluidigmc1
1164,beta,fluidigmc1
1165,beta,fluidigmc1
1166,beta,fluidigmc1
1167,beta,fluidigmc1
1168,beta,fluidigmc1
1169,beta,fluidigmc1
1170,beta,fluidigmc1
1171,beta,fluidigmc1
1172,beta,fluidigmc1
1173,beta,fluidigmc1
1174,beta,fluidigmc1
1175,beta,fluidigmc1
1176,beta,fluidigmc1
1177,beta,fluidigmc1
1178,beta,fluidigmc1
1179,beta,fluidigmc1
1180,beta,fluidigmc1
1181,beta,fluidigmc1
1182,beta,fluidigmc1
1183,beta,fluidigmc1
1184,beta,fluidigmc1
1185,beta,fluidigmc1
1186,beta,fluidigmc1
1187,beta,fluidigmc1
1188,beta,fluidigmc1
1189,beta,fluidigmc1
1190,beta,fluidigmc1
1191,beta,fluidigmc1
1192,beta,fluidigmc1
1193,beta,fluidigmc1
1194,beta,fluidigmc1
1195,beta,fluidigmc1
1196,beta,fluidigmc1
1197,beta,fluidigmc1
1198,beta,fluidigmc1
1199,beta,fluidigmc1
1200,beta,fluidigmc1
1201,beta,fluidigmc1
1202,beta,fluidigmc1
