index,celltype,tech
713,acinar,smartseq2
714,acinar,smartseq2
715,acinar,smartseq2
716,acinar,smartseq2
717,acinar,smartseq2
718,acinar,smartseq2
719,acinar,smartseq2
720,acinar,smartseq2
721,acinar,smartseq2
722,acinar,smartseq2
723,acinar,smartseq2
724,acinar,smartseq2
725,acinar,smartseq2
726,acinar,smartseq2
727,acinar,smartseq2
728,acinar,smartseq2
729,acinar,smartseq2
730,acinar,smartseq2
731,acinar,smartseq2
732,acinar,smartseq2
733,acinar,smartseq2
734,acinar,smartseq2
735,acinar,smartseq2
736,acinar,smartseq2
737,acinar,smartseq2
738,acinar,smartseq2
739,acinar,smartseq2
740,acinar,smartseq2
741,acinar,smartseq2
742,acinar,smartseq2
743,acinar,smartseq2
744,acinar,smartseq2
745,acinar,smartseq2
746,acinar,smartseq2
747,acinar,smartseq2
748,acinar,smartseq2
749,acinar,smartseq2
750,acinar,smartseq2
751,acinar,smartseq2
752,acinar,smartseq2
753,acinar,smartseq2
754,acinar,smartseq2
755,acinar,smartseq2
756,acinar,smartseq2
757,acinar,smartseq2
758,acinar,smartseq2
759,acinar,smartseq2
760,acinar,smartseq2
761,acinar,smartseq2
762,acinar,smartseq2
763,acinar,smartseq2
764,acinar,smartseq2
765,acinar,smartseq2
766,acinar,smartseq2
767,acinar,smartseq2
768,acinar,smartseq2
769,acinar,smartseq2
770,acinar,smartseq2
771,acinar,smartseq2
772,acinar,smartseq2
773,acinar,smartseq2
774,acinar,smartseq2
775,acinar,smartseq2
776,acinar,smartseq2
777,acinar,smartseq2
778,acinar,smartseq2
779,acinar,smartseq2
780,acinar,smartseq2
781,acinar,smartseq2
782,acinar,smartseq2
783,acinar,smartseq2
784,acinar,smartseq2
785,alpha,celseq2
786,alpha,celseq2
787,alpha,celseq2
788,alpha,celseq2
789,alpha,celseq2
790,alpha,celseq2
791,alpha,celseq2
792,alpha,celseq2
793,alpha,celseq2
794,alpha,celseq2
795,alpha,celseq2
796,alpha,celseq2
797,alpha,celseq2
798,alpha,celseq2
799,alpha,celseq2
800,alpha,celseq2
801,alpha,celseq2
802,alpha,celseq2
803,alpha,celseq2
804,alpha,celseq2
805,alpha,celseq2
806,alpha,celseq2
807,alpha,celseq2
808,alpha,celseq2
809,alpha,celseq2
810,alpha,celseq2
811,alpha,celseq2
812,alpha,celseq2
813,alpha,celseq2
814,alpha,celseq2
815,alpha,celseq2
816,alpha,celseq2
817,alpha,celseq2
818,alpha,celseq2
819,alpha,celseq2
820,alpha,celseq2
821,alpha,celseq2
822,alpha,celseq2
823,alpha,celseq2
824,alpha,celseq2
825,alpha,celseq2
826,alpha,celseq2
827,alpha,celseq2
828,alpha,celseq2
829,alpha,celseq2
830,alpha,celseq2
831,alpha,celseq2
832,alpha,celseq2
833,alpha,celseq2
834,alpha,celseq2
835,alpha,celseq2
836,alpha,celseq2
837,alpha,celseq2
838,alpha,celseq2
839,alpha,celseq2
840,alpha,celseq2
841,alpha,celseq2
842,alpha,celseq2
843,alpha,celseq2
844,alpha,celseq2
845,alpha,celseq2
846,alpha,celseq2
847,alpha,celseq2
848,alpha,celseq2
849,alpha,celseq2
850,alpha,celseq2
851,alpha,celseq2
852,alpha,celseq2
853,alpha,celseq2
854,alpha,celseq2
855,alpha,celseq2
856,alpha,celseq2
857,alpha,celseq2
858,alpha,celseq2
859,alpha,celseq2
860,alpha,celseq2
861,alpha,celseq2
862,alpha,celseq2
863,alpha,celseq2
864,alpha,celseq2
865,alpha,celseq2
866,alpha,celseq2
867,alpha,celseq2
868,alpha,celseq2
869,alpha,celseq2
870,alpha,celseq2
871,alpha,celseq2
872,alpha,celseq2
873,alpha,celseq2
874,alpha,celseq2
875,alpha,celseq2
876,alpha,celseq2
877,alpha,celseq2
878,alpha,celseq2
879,alpha,celseq2
880,alpha,celseq2
881,alpha,celseq2
882,alpha,celseq2
883,alpha,celseq2
884,alpha,celseq2
885,alpha,celseq2
886,alpha,celseq2
887,alpha,celseq2
888,alpha,celseq2
889,alpha,celseq2
890,alpha,celseq2
891,alpha,celseq2
892,alpha,celseq2
893,alpha,celseq2
894,alpha,celseq2
895,alpha,celseq2
896,alpha,celseq2
897,alpha,celseq2
898,alpha,celseq2
899,alpha,celseq2
900,alpha,celseq2
901,alpha,celseq2
902,alpha,celseq2
903,alpha,celseq2
904,alpha,celseq2
905,alpha,celseq2
906,alpha,celseq2
907,alpha,celseq2
908,alpha,celseq2
909,alpha,celseq2
910,alpha,celseq2
911,alpha,celseq2
912,alpha,celseq2
913,alpha,celseq2
914,alpha,celseq2
915,alpha,celseq2
916,alpha,celseq2
917,alpha,celseq2
918,alpha,celseq2
919,alpha,celseq2
920,alpha,celseq2
921,alpha,celseq2
922,alpha,celseq2
923,alpha,celseq2
924,alpha,celseq2
925,alpha,celseq2
926,alpha,celseq2
927,alpha,celseq2
928,alpha,celseq2
929,alpha,celseq2
930,alpha,celseq2
931,alpha,celseq2
932,alpha,celseq2
933,alpha,celseq2
934,alpha,celseq2
935,alpha,celseq2
936,alpha,celseq2
937,alpha,celseq2
938,alpha,celseq2
939,alpha,celseq2
940,alpha,celseq2
941,alpha,celseq2
942,alpha,celseq2
943,alpha,celseq2
944,alpha,celseq2
945,alpha,celseq2
946,alpha,celseq2
947,alpha,celseq2
948,alpha,celseq2
949,alpha,celseq2
950,alpha,celseq2
951,alpha,celseq2
952,alpha,celseq2
953,alpha,celseq2
954,alpha,celseq2
955,alpha,celseq2
956,alpha,celseq2
957,alpha,celseq2
958,alpha,celseq2
959,alpha,celseq2
960,alpha,celseq2
961,alpha,celseq2
962,alpha,celseq2
963,alpha,celseq2
964,alpha,celseq2
965,alpha,celseq2
966,alpha,celseq2
967,alpha,celseq2
968,alpha,celseq2
969,alpha,celseq2
970,alpha,celseq2
971,alpha,celseq2
972,alpha,celseq2
973,alpha,celseq2
974,alpha,celseq2
975,alpha,celseq2
976,alpha,celseq2
977,alpha,celseq2
978,alpha,celseq2
979,alpha,celseq2
980,alpha,celseq2
981,alpha,celseq2
982,alpha,celseq2
983,alpha,celseq2
984,alpha,celseq2
985,alpha,celseq2
986,alpha,celseq2
987,alpha,celseq2
988,alpha,celseq2
989,alpha,celseq2
990,alpha,celseq2
991,alpha,celseq2
992,alpha,celseq2
993,alpha,celseq2
994,alpha,celseq2
995,alpha,celseq2
996,alpha,celseq2
997,alpha,celseq2
998,alpha,celseq2
999,alpha,celseq2
1000,alpha,celseq2
1001,alpha,celseq2
1002,alpha,celseq2
1003,alpha,celseq2
1004,alpha,celseq2
1005,alpha,celseq2
1006,alpha,celseq2
1007,alpha,celseq2
1008,alpha,celseq2
1009,alpha,celseq2
1010,alpha,celseq2
1011,alpha,celseq2
1012,alpha,celseq2
1013,alpha,celseq2
1014,alpha,celseq2
1015,alpha,celseq2
1016,alpha,celseq2
1017,alpha,celseq2
1018,alpha,celseq2
1019,alpha,celseq2
1020,alpha,celseq2
1021,alpha,celseq2
1022,alpha,celseq2
1023,alpha,celseq2
1024,alpha,celseq2
1025,alpha,celseq2
1026,alpha,celseq2
1027,alpha,celseq2
1028,alpha,celseq2
1029,alpha,celseq2
1030,alpha,celseq2
1031,alpha,celseq2
1032,alpha,celseq2
1033,alpha,celseq2
1034,alpha,celseq2
1035,alpha,celseq2
1036,alpha,celseq2
1037,alpha,celseq2
1038,alpha,celseq2
1039,alpha,celseq2
1040,alpha,celseq2
1041,alpha,celseq2
1042,alpha,celseq2
1043,alpha,celseq2
1044,alpha,celseq2
1045,alpha,celseq2
1046,alpha,celseq2
1047,alpha,celseq2
1048,alpha,celseq2
1049,alpha,celseq2
1050,alpha,celseq2
1051,alpha,celseq2
1052,alpha,celseq2
1053,alpha,celseq2
1054,alpha,celseq2
1055,alpha,celseq2
1056,alpha,celseq2
1057,alpha,celseq2
1058,alpha,celseq2
1059,alpha,celseq2
1060,alpha,celseq2
1061,alpha,celseq2
1062,alpha,celseq2
1063,alpha,celseq2
1064,alpha,celseq2
1065,alpha,celseq2
1066,alpha,celseq2
1067,alpha,celseq2
1068,alpha,celseq2
1069,alpha,celseq2
1070,alpha,celseq2
1071,alpha,celseq2
1072,alpha,celseq2
1073,alpha,celseq2
1074,alpha,celseq2
1075,alpha,celseq2
1076,alpha,celseq2
1077,alpha,celseq2
1078,alpha,celseq2
1079,alpha,celseq2
1080,alpha,celseq2
1081,alpha,celseq2
1082,alpha,celseq2
1083,alpha,celseq2
1084,alpha,celseq2
1085,alpha,celseq2
1086,alpha,celseq2
1087,alpha,celseq2
1088,alpha,celseq2
1089,alpha,celseq2
1090,alpha,celseq2
1091,alpha,celseq2
1092,alpha,celseq2
1093,alpha,celseq2
1094,alpha,celseq2
1095,alpha,celseq2
1096,alpha,celseq2
1097,alpha,celseq2
1098,alpha,celseq2
1099,alpha,celseq2
1100,alpha,celseq2
1101,alpha,celseq2
1102,alpha,celseq2
1103,alpha,celseq2
1104,alpha,celseq2
1105,alpha,celseq2
1106,alpha,celseq2
1107,alpha,celseq2
1108,alpha,celseq2
1109,alpha,celseq2
1110,alpha,celseq2
1111,alpha,celseq2
1112,alpha,celseq2
1113,alpha,celseq2
1114,alpha,celseq2
1115,alpha,celseq2
1116,alpha,celseq2
1117,alpha,celseq2
1118,alpha,celseq2
1119,alpha,celseq2
1120,alpha,celseq2
1121,alpha,celseq2
1122,alpha,celseq2
1123,alpha,celseq2
1124,alpha,celseq2
1125,alpha,celseq2
1126,alpha,celseq2
1127,alpha,celseq2
1128,alpha,celseq2
1129,alpha,celseq2
1130,alpha,celseq2
1131,alpha,celseq2
1132,alpha,celseq2
1133,alpha,celseq2
1134,alpha,celseq2
1135,alpha,celseq2
1136,alpha,celseq2
1137,alpha,celseq2
1138,alpha,celseq2
1139,alpha,celseq2
1140,alpha,celseq2
1141,alpha,celseq2
1142,alpha,celseq2
1143,alpha,celseq2
1144,alpha,celseq2
1145,alpha,celseq2
1146,alpha,celseq2
1147,alpha,celseq2
1148,alpha,celseq2
1149,alpha,celseq2
1150,alpha,celseq2
1151,alpha,celseq2
1152,alpha,celseq2
1153,alpha,celseq2
1154,alpha,celseq2
1155,alpha,celseq2
1156,alpha,celseq2
1157,alpha,celseq2
1158,alpha,celseq2
1159,alpha,celseq2
1160,alpha,celseq2
1161,alpha,celseq2
1162,alpha,celseq2
1163,alpha,celseq2
1164,alpha,celseq2
1165,alpha,celseq2
1166,alpha,celseq2
1167,alpha,celseq2
1168,alpha,celseq2
1169,alpha,celseq2
1170,alpha,celseq2
1171,alpha,celseq2
1172,alpha,celseq2
1173,alpha,celseq2
1174,alpha,celseq2
1175,alpha,celseq2
1176,alpha,celseq2
1177,alpha,celseq2
1178,alpha,celseq2
1179,alpha,celseq2
1180,alpha,celseq2
1181,alpha,celseq2
1182,alpha,celseq2
1183,alpha,celseq2
1184,alpha,celseq2
1185,alpha,celseq2
1186,alpha,celseq2
1187,alpha,celseq2
1188,alpha,celseq2
1189,alpha,celseq2
1190,alpha,celseq2
1191,alpha,celseq2
1192,alpha,celseq2
1193,alpha,celseq2
1194,alpha,celseq2
1195,alpha,celseq2
1196,alpha,celseq2
1197,alpha,celseq2
1198,alpha,celseq2
1199,alpha,celseq2
1200,alpha,celseq2
1201,alpha,celseq2
1202,alpha,celseq2
1203,alpha,celseq2
1204,alpha,celseq2
1205,alpha,celseq2
1206,alpha,celseq2
1207,alpha,celseq2
1208,alpha,celseq2
1209,alpha,celseq2
1210,alpha,celseq2
1211,alpha,celseq2
1212,alpha,celseq2
1213,alpha,celseq2
1214,alpha,celseq2
